1: Magyarországról az első térképet Bakócz_Tamás érsek Lázár nevű titkára készítette , valószínűleg az 1510-es években . # #
-első térképet Bakócz_Tamás


244: - Ugyanazt , amit te akartál tőlem , tégedet ... # #
-te akartál tőlem
te te FN_NM.e2.nom
te te FN_NM.e2.nom
te te FN_NM.e2.nom


245: Anna hangja megnyugtatta . # #
-Anna hangja megnyugtatta
Anna Anna|anna TULN.gen
Anna Anna|anna TULN.gen
Anna Anna|anna TULN.gen
-hangja megnyugtatta .
hangja hang FN.PSe3.nom
hangja hang FN.PSe3.nom
hangja hang FN.PSe3.nom


246: Neves tudósunk 1947.november9-én hunyt el Budapesten . # #
-Neves tudósunk 1947.november9-én
Neves neves MN.none
Neves neves MN.none
Neves neves MN.defnone
-tudósunk 1947.november9-én hunyt
tudósunk tudós FN.PSt1.nom
tudósunk tudós FN.PSt1.nom
tudósunk tudós FN.PSt1.nom


247: Szomját meg éhét , igényeidét , azt fojtsd el : a kölyök szomját meg éhét . # #
-kölyök szomját meg
kölyök kölyök FN.gen
kölyök kölyök FN.gen
kölyök kölyök FN.gen


248: A dráma és a tragédia műfaja szinte már önmagában is - tiszta létezésében - épp arról tanúskodik # #
-dráma és a
dráma dráma FN.gen
dráma dráma FN.suff
dráma dráma FN.suff
-tragédia műfaja szinte
tragédia tragédia FN.gen
tragédia tragédia FN.gen
tragédia tragédia FN.gen
-műfaja szinte már
műfaja műfaj FN.PSe3.nom
műfaja műfaj FN.PSe3.nom
műfaja műfaj FN.PSe3.nom
-tiszta létezésében -
tiszta tiszta MN.none
tiszta tiszta MN.defnone
tiszta tiszta MN.defnone


249: Tervem sajnos nem sikerült . # #
-Tervem sajnos nem
Tervem terv FN.PSe1.nom
Tervem terv FN.PSe1.suff
Tervem terv FN.PSe1.suff


250: nem a liftet pisálta össze . # #


251: A másfél évszázados török megszállás megváltoztatta a vár jellegét és további fejlődésének irányát . # #
-másfél évszázados török
másfél másfél SZN.none
másfél másfél SZN.none
másfél másfél SZN.none
-évszázados török megszállás
évszázados évszázados MN.none
évszázados évszázados MN.none
évszázados évszázados MN.defnone
-török megszállás megváltoztatta
török török MN.none
török török MN.none
török török MN.none
-megszállás megváltoztatta a
megszállás megszállás FN.nom
megszállás megszállás FN.nom
megszállás megszállás FN.nom
-vár jellegét és
vár vár FN.gen
vár vár FN.gen
vár vár FN.gen
-további fejlődésének irányát
további további MN.none
további további MN.none
további további MN.defnone


252: Egész közel nyomta az orrát az üveghez . # #
-Egész közel nyomta
Egész egész FN.postag_error
Egész egész FN.postag_error
Egész egész FN.nom


253: a külsőségek őriznek népmesei és regényes mozzanatokat . # #
-külsőségek őriznek népmesei
külsőségek külsőség FN.PL.nom
külsőségek külsőség FN.PL.nom
külsőségek külsőség FN.PL.nom
-népmesei és regényes
népmesei népmesei MN.none
népmesei népmesei MN.defnone
népmesei népmesei MN.defnone
-regényes mozzanatokat .
regényes regényes MN.none
regényes regényes MN.none
regényes regényes MN.none


254: - A futballista többet kap . # #
-futballista többet kap
futballista futballista FN.nom
futballista futballista FN.nom
futballista futballista FN.nom


255: Mérőn az értékek valóságosabban mutatkoztak meg . # #
-az értékek valóságosabban
az az DET_NM.postag_error
az az DET_NM.postag_error
az az DET_NM.nom
-értékek valóságosabban mutatkoztak
értékek érték FN.PL.nom
értékek érték FN.PL.nom
értékek érték FN.PL.nom


256: Schweitzer_Ödönnel és feleségével , aki ráadásul a házasságkötés után is megmaradt asszisztensnek , a család évekig nem érintkezett . # #
-aki ráadásul a
aki aki FN_NM.nom
aki aki FN_NM.nom
aki aki FN_NM.nom
-házasságkötés után is
házasságkötés házasságkötés FN.none
házasságkötés házasságkötés FN.none
házasságkötés házasságkötés FN.none
-megmaradt asszisztensnek ,
megmaradt megmarad IK.IGE._MIB.postag_error
megmaradt megmarad IK.IGE._MIB.postag_error
megmaradt megmarad IK.IGE._MIB.defnone
-család évekig nem
család család FN.nom
család család FN.suff
család család FN.nom


257: A márciusi szél a legkellemetlenebb arcát fordította Pozsonyra . # #
-márciusi szél a
márciusi márciusi MN.none
márciusi márciusi MN.none
márciusi márciusi MN.none
-szél a legkellemetlenebb
szél szél FN.nom
szél szél FN.nom
szél szél FN.nom
-legkellemetlenebb arcát fordította
legkellemetlenebb kellemetlen FF.MN._FOK.none
legkellemetlenebb kellemetlen FF.MN._FOK.none
legkellemetlenebb kellemetlen FF.MN._FOK.none


258: A széki urakra csak setétvégben került sor . # #
-széki urakra csak
széki széki MN.none
széki széki MN.defnone
széki széki MN.defnone
-sor . #
sor sor FN.nom
sor sor FN.nom
sor sor FN.nom


259: A délután közepén megjön Róza . # #
-délután közepén megjön
délután délután FN.gen
délután délután FN.gen
délután délután FN.gen
-Róza . #
Róza Róza TULN.nom
Róza Róza TULN.nom
Róza Róza TULN.nom


260: Kodály 1909ben az Ethograpiában megjegyzi # #
-Kodály 1909ben az
Kodály Kodály TULN.suff
Kodály Kodály TULN.suff
Kodály Kodály TULN.suff
-Ethograpiában megjegyzi #
Ethograpiában Ethograpiában TULN.postag_error
Ethograpiában Ethograpiában TULN.postag_error
Ethograpiában Ethograpiában TULN.nom


261: Ez az egeralji születésű , adorjánházi lakos háromnapos vendégségem alatt a két falu egyesítését , a körülményeket , a lelki sebeket nem említette . # #
-Ez az egeralji
Ez ez DET_NM.nom
Ez ez DET_NM.nom
Ez ez DET_NM.nom
-születésű , adorjánházi
születésű születésű MN.none
születésű születésű MN.defnone
születésű születésű MN.defnone
-adorjánházi lakos háromnapos
adorjánházi adorjánházi MN.none
adorjánházi adorjánházi MN.none
adorjánházi adorjánházi MN.defnone
-lakos háromnapos vendégségem
lakos lakos FN.nom
lakos lakos FN.suff
lakos lakos FN.gen
-háromnapos vendégségem alatt
háromnapos háromnapos MN.none
háromnapos háromnapos MN.none
háromnapos háromnapos MN.defnone
-vendégségem alatt a
vendégségem vendégség FN.PSe1.none
vendégségem vendégség FN.PSe1.none
vendégségem vendégség FN.PSe1.none
-két falu egyesítését
két két SZN.none
két két SZN.none
két két SZN.none
-falu egyesítését ,
falu falu FN.gen
falu falu FN.gen
falu falu FN.gen
-lelki sebeket nem
lelki lelki MN.none
lelki lelki MN.none
lelki lelki MN.none


262: Mi pedig a derék , szalonkavadászatra sóvárgó sógorommal elballagunk a három hatalmas nyárfa alatti leshelyemre . # #
-Mi pedig a
Mi ami|mi FN_NM.nom|FN_NM.nom
Mi ami|mi FN_NM.nom|FN_NM.nom
Mi ami|mi FN_NM.nom|FN_NM.nom
-derék , szalonkavadászatra
derék derék MN.none
derék derék MN.none
derék derék MN.defnone
-sóvárgó sógorommal elballagunk
sóvárgó sóvárog IGE._OKEP.none
sóvárgó sóvárog IGE._OKEP.none
sóvárgó sóvárog IGE._OKEP.none
-három hatalmas nyárfa
három három SZN.none
három három SZN.none
három három SZN.none
-hatalmas nyárfa alatti
hatalmas hatalmas MN.none
hatalmas hatalmas MN.defnone
hatalmas hatalmas MN.defnone
-nyárfa alatti leshelyemre
nyárfa nyárfa FN.none
nyárfa nyárfa FN.none
nyárfa nyárfa FN.none
-alatti leshelyemre .
alatti alatti MN.none
alatti alatti MN.none
alatti alatti MN.none


263: Így hozta az idő ... # #
-idő ... #
idő idő FN.nom
idő idő FN.nom
idő idő FN.nom


264: Bócz_Péter egy csonka seprűnyél végébe egy U-szeget vert . # #
-Bócz_Péter egy csonka
Bócz_Péter Bócz_Péter TULN.nom
Bócz_Péter Bócz_Péter TULN.suff
Bócz_Péter Bócz_Péter TULN.suff
-egy csonka seprűnyél
egy egy SZN.none
egy egy SZN.none
egy egy SZN.none
-csonka seprűnyél végébe
csonka csonka MN.none
csonka csonka MN.none
csonka csonka MN.defnone
-seprűnyél végébe egy
seprűnyél seprűnyél FN.gen
seprűnyél seprűnyél FN.gen
seprűnyél seprűnyél FN.gen
-egy U-szeget vert
egy egy SZN.none
egy egy SZN.none
egy egy SZN.none


265: amennyit a falu kibocsátani kényszerül . # #
-falu kibocsátani kényszerül
falu falu FN.nom
falu falu FN.nom
falu falu FN.nom


266: - Priskovicsot még Apa vette magához . # #
-Apa vette magához
Apa apa FN.nom
Apa apa FN.nom
Apa apa FN.nom


267: A polgármester köhintett egyet . # #
-polgármester köhintett egyet
polgármester polgármester FN.nom
polgármester polgármester FN.nom
polgármester polgármester FN.nom


268: PAS-t és Isonicidet a páciensnek , Gizike - utasítják a főnővért . # #
-Gizike - utasítják
Gizike Gizike TULN.vok
Gizike Gizike TULN.vok
Gizike Gizike TULN.nom


269: Mint olvassuk :  # #


270: Vajon most is azt mondjuk # #


271: a filmeken kívül nemigen találkoztak még ilyen pőrén a mentegetődzés nélküli testi közvetlenséggel . # #
-ilyen pőrén a
ilyen ilyen MN_NM.none
ilyen ilyen MN_NM.none
ilyen ilyen MN_NM.none
-mentegetődzés nélküli testi
mentegetődzés mentegetődzés FN.none
mentegetődzés mentegetődzés FN.none
mentegetődzés mentegetődzés FN.none
-nélküli testi közvetlenséggel
nélküli nélküli MN.none
nélküli nélküli MN.none
nélküli nélküli MN.defnone
-testi közvetlenséggel .
testi testi MN.none
testi testi MN.none
testi testi MN.none


272: Azért néha odaszól az ember a tévének . # #
-ember a tévének
ember ember FN.nom
ember ember FN.nom
ember ember FN.nom


273: akinek képzelte magát . # #


274: a világ majd úgy befogad . # #
-világ majd úgy
világ világ FN.nom
világ világ FN.suff
világ világ FN.suff


275: Szinte naponta ismétlődött ez . # #
-ez . #
ez ez FN_NM.nom
ez ez FN_NM.nom
ez ez FN_NM.nom


276: - Maradj már csöndbe , Pali ! # #
-Pali ! #
Pali pali|Pali TULN.nom|TULN.vok
Pali pali|Pali TULN.nom|TULN.vok
Pali pali|Pali TULN.nom|TULN.nom


277: Április-májusban minden évben teljes halászati és horgászati tilalmat kellene elrendelni . # #
-teljes halászati és
teljes teljes MN.none
teljes teljes MN.defnone
teljes teljes MN.defnone
-halászati és horgászati
halászati halászati MN.none
halászati halászati MN.none
halászati halászati MN.defnone
-horgászati tilalmat kellene
horgászati horgászati MN.none
horgászati horgászati MN.none
horgászati horgászati MN.none


278: hangrögzítőm cseveg sok idegen hangon # #
-hangrögzítőm cseveg sok
hangrögzítőm hangrögzítő MN.PSe1.nom
hangrögzítőm hangrögzítő MN.PSe1.nom
hangrögzítőm hangrögzítő MN.PSe1.nom
-sok idegen hangon
sok sok SZN.none
sok sok SZN.none
sok sok SZN.none
-idegen hangon #
idegen idegen MN.none
idegen idegen MN.none
idegen idegen MN.defnone


279: - Melyik évszakot szereted a legjobban ? # #
-Melyik évszakot szereted
Melyik amelyik|melyik FN_NM.none|FN_NM.none
Melyik amelyik|melyik FN_NM.none|FN_NM.none
Melyik amelyik|melyik FN_NM.nom|FN_NM.nom


280: A szülőföld meghatárolta életutadat ? # #
-szülőföld meghatárolta életutadat
szülőföld szülőföld FN.nom
szülőföld szülőföld FN.nom
szülőföld szülőföld FN.nom


281: A gondolat izzása , a vers feszültsége első olvasásra megfog . # #
-gondolat izzása ,
gondolat gondolat FN.gen
gondolat gondolat FN.gen
gondolat gondolat FN.gen
-izzása , a
izzása izzás FN.PSe3.nom
izzása izzás FN.PSe3.nom
izzása izzás FN.PSe3.nom
-vers feszültsége első
vers vers FN.gen
vers vers FN.gen
vers vers FN.gen
-feszültsége első olvasásra
feszültsége feszültség FN.PSe3.nom
feszültsége feszültség FN.PSe3.nom
feszültsége feszültség FN.PSe3.nom
-első olvasásra megfog
első első MN.none
első első MN.none
első első MN.none


282: Ernő és Csilla szemében ekkor már a szemtanúk kárörvendő , ördögi lángocskája lobogott . # #
-Ernő és Csilla
Ernő Ernő TULN.gen
Ernő Ernő TULN.suff
Ernő Ernő TULN.suff
-Csilla szemében ekkor
Csilla Csilla|csilla TULN.gen|TULN.gen
Csilla Csilla|csilla TULN.gen|TULN.gen
Csilla Csilla|csilla TULN.gen|TULN.gen
-szemtanúk kárörvendő ,
szemtanúk szemtanú FN.PL.gen
szemtanúk szemtanú FN.PL.suff
szemtanúk szemtanú FN.PL.suff
-kárörvendő , ördögi
kárörvendő kárörvendő MN.none
kárörvendő kárörvendő MN.defnone
kárörvendő kárörvendő MN.defnone
-ördögi lángocskája lobogott
ördögi ördögi MN.none
ördögi ördögi MN.none
ördögi ördögi MN.none
-lángocskája lobogott .
lángocskája lángocska FN.PSe3.nom
lángocskája lángocska FN.PSe3.nom
lángocskája lángocska FN.PSe3.nom


283: Több pontosság kell , több tárgyiasság . # #
-Több pontosság kell
Több sok SZN._FOK.none
Több sok SZN._FOK.none
Több sok SZN._FOK.none
-pontosság kell ,
pontosság pontosság FN.nom
pontosság pontosság FN.nom
pontosság pontosság FN.nom
-több tárgyiasság .
több sok SZN._FOK.none
több sok SZN._FOK.none
több sok SZN._FOK.none
-tárgyiasság . #
tárgyiasság tárgyiasság FN.nom
tárgyiasság tárgyiasság FN.nom
tárgyiasság tárgyiasság FN.nom


284: S még annak a napnak a délutánján a kaszinó kistermében , összeült a hadbíróság . . . . # #
-kaszinó kistermében ,
kaszinó kaszinó FN.gen
kaszinó kaszinó FN.gen
kaszinó kaszinó FN.gen
-hadbíróság . .
hadbíróság hadbíróság FN.nom
hadbíróság hadbíróság FN.nom
hadbíróság hadbíróság FN.suff


285: Minden alkalommal kitaláltunk valamiféle új játékot . # #
-valamiféle új játékot
valamiféle valamiféle MN_NM.none
valamiféle valamiféle MN_NM.none
valamiféle valamiféle MN_NM.defnone
-új játékot .
új új MN.none
új új MN.none
új új MN.none


286: A Ganz-gyárban vállalt munkát , hogy megteremtse a továbbtanuláshoz szükséges anyagiakat . # #
-vállalt munkát ,
vállalt vállal IGE._MIB.postag_error
vállalt vállal IGE._MIB.postag_error
vállalt vállal IGE._MIB.defnone
-szükséges anyagiakat .
szükséges szükséges MN.none
szükséges szükséges MN.none
szükséges szükséges MN.none


287: " Jó szerencsét ! " - köszönnek . # #
-Jó szerencsét !
Jó jó MN.none
Jó jó MN.none
Jó jó MN.defnone


288: Végtére is zeneszó mellett töltik az időt . # #
-zeneszó mellett töltik
zeneszó zeneszó FN.none
zeneszó zeneszó FN.none
zeneszó zeneszó FN.none


289: Kifejtve , mondjuk , egy sajátos elképzelést a beteljesülések hiányáról korunkban ? # #
-egy sajátos elképzelést
egy egy SZN.none
egy egy SZN.none
egy egy SZN.none
-sajátos elképzelést a
sajátos sajátos MN.none
sajátos sajátos MN.none
sajátos sajátos MN.none
-beteljesülések hiányáról korunkban
beteljesülések beteljesülés FN.PL.gen
beteljesülések beteljesülés FN.PL.gen
beteljesülések beteljesülés FN.PL.gen


290: Csak most a másik oldalról látom ! " # #
-másik oldalról látom
másik másik MN_NM.none
másik másik MN_NM.none
másik másik MN_NM.none


291: Az előre nem láthatók közül csak egyet említenék . # #
-Az előre nem
Az az FN_NM.postag_error
Az az FN_NM.postag_error
Az az FN_NM.nom
-láthatók közül csak
láthatók látható MN.PL.none
láthatók látható MN.PL.none
láthatók látható MN.PL.none


292: 1980-as évek végéig működött , # #
-1980-as évek végéig
1980-as 1980-as MN.none
1980-as 1980-as MN.none
1980-as 1980-as MN.defnone
-évek végéig működött
évek év FN.PL.gen
évek év FN.PL.gen
évek év FN.PL.gen


293: Nem észlelt semmi gyanúsat . # #
-semmi gyanúsat .
semmi semmi MN.none
semmi semmi MN.none
semmi semmi MN.none


294: S már kegyetlenségnek érzem állandóan ugyanazt a kérdést ismételni : # #


295: A szőlőcukor és a répacukor békésen elegyedik a hordóban . # #
-szőlőcukor és a
szőlőcukor szőlőcukor FN.nom
szőlőcukor szőlőcukor FN.suff
szőlőcukor szőlőcukor FN.suff
-répacukor békésen elegyedik
répacukor répacukor FN.nom
répacukor répacukor FN.nom
répacukor répacukor FN.nom


296: Kedves áldozatot fognak ez által tenni a haza , a vallás és emberiség oltárára . # #
-Kedves áldozatot fognak
Kedves kedves MN.none
Kedves kedves MN.none
Kedves kedves MN.none
-ez által tenni
ez ez FN_NM.none
ez ez FN_NM.none
ez ez FN_NM.none
-haza , a
haza haza FN.gen
haza haza FN.suff
haza haza FN.suff
-vallás és emberiség
vallás vallás FN.gen
vallás vallás FN.suff
vallás vallás FN.suff
-emberiség oltárára .
emberiség emberiség FN.gen
emberiség emberiség FN.gen
emberiség emberiség FN.gen
-oltárára . #
oltárára oltárár FN.PSe3.postag_error
oltárára oltárár FN.PSe3.postag_error
oltárára oltárár FN.PSe3.nom


297: Egy komoly művész még a teret is megtervezi a műve köré . # #
-Egy komoly művész
Egy egy SZN.none
Egy egy SZN.none
Egy egy SZN.none
-komoly művész még
komoly komoly MN.none
komoly komoly MN.none
komoly komoly MN.defnone
-művész még a
művész művész FN.nom
művész művész FN.suff
művész művész FN.suff
-műve köré .
műve mű FN.PSe3.postag_error
műve mű FN.PSe3.postag_error
műve mű FN.PSe3.none


298: Giulio_Gavotti hadnagy bízik az osztrák gyártmányú Etrich Taube nevű gépében . # #
-Giulio_Gavotti hadnagy bízik
Giulio_Gavotti Gavotti TULN.xne
Giulio_Gavotti Gavotti TULN.xne
Giulio_Gavotti Gavotti TULN.nom
-hadnagy bízik az
hadnagy hadnagy FN.nom
hadnagy hadnagy FN.nom
hadnagy hadnagy FN.nom
-osztrák gyártmányú Etrich
osztrák osztrák MN.none
osztrák osztrák MN.none
osztrák osztrák MN.defnone
-gyártmányú Etrich Taube
gyártmányú gyártmányú MN.none
gyártmányú gyártmányú MN.defnone
gyártmányú gyártmányú MN.defnone
-Etrich Taube nevű
Etrich Etrich TULN.suff
Etrich Etrich TULN.suff
Etrich Etrich TULN.suff
-Taube nevű gépében
Taube Taube TULN.none
Taube Taube TULN.none
Taube Taube TULN.none
-nevű gépében .
nevű nevű MN.none
nevű nevű MN.none
nevű nevű MN.none


299: A könyvespolc aljában csukott szekrényrészt pillantok meg . # #
-könyvespolc aljában csukott
könyvespolc könyvespolc FN.gen
könyvespolc könyvespolc FN.gen
könyvespolc könyvespolc FN.gen
-csukott szekrényrészt pillantok
csukott csukott MN.none
csukott csukott MN.none
csukott csukott MN.none


300: ott jönnek . # #


301: Az első találkozásuk óta két hét sem telt el . # #
-első találkozásuk óta
első első MN.none
első első MN.none
első első MN.defnone
-találkozásuk óta két
találkozásuk találkozás FN.PSt3.none
találkozásuk találkozás FN.PSt3.none
találkozásuk találkozás FN.PSt3.none
-két hét sem
két két SZN.none
két két SZN.none
két két SZN.none
-hét sem telt
hét hét FN.nom
hét hét FN.nom
hét hét FN.nom


302: - Segítsen , valami tablettákkal ... # #
-valami tablettákkal ...
valami valami FN_NM.none
valami valami FN_NM.none
valami valami FN_NM.nom


303: - Nem mindegy - mondta a bajuszos . # #
-bajuszos . #
bajuszos bajuszos FN.nom
bajuszos bajuszos FN.nom
bajuszos bajuszos FN.nom


304: A készülődést a nép s észreveszi : # #
-nép s észreveszi
nép nép FN.nom
nép nép FN.nom
nép nép FN.nom


305: - sóhajtott fel a borbély . # #
-borbély . #
borbély borbély FN.nom
borbély borbély FN.nom
borbély borbély FN.nom


306: Mi Csákigorbóhoz tartoztunk , és vót egy Szarvadi őrnagy és egy Szolnoki_Kálmán hadnagy , dunántúli vót . # #
-vót egy Szarvadi
vót vót MN.postag_error
vót vót MN.postag_error
vót vót MN.nom
-egy Szarvadi őrnagy
egy egy SZN.none
egy egy SZN.none
egy egy SZN.defnone
-Szarvadi őrnagy és
Szarvadi szarvadi TULN.xne
Szarvadi szarvadi TULN.xne
Szarvadi szarvadi TULN.suff
-őrnagy és egy
őrnagy őrnagy FN.nom
őrnagy őrnagy FN.suff
őrnagy őrnagy FN.suff
-egy Szolnoki_Kálmán hadnagy
egy egy SZN.none
egy egy SZN.none
egy egy SZN.defnone
-Szolnoki_Kálmán hadnagy ,
Szolnoki_Kálmán Szolnoki_Kálmán TULN.xne
Szolnoki_Kálmán Szolnoki_Kálmán TULN.xne
Szolnoki_Kálmán Szolnoki_Kálmán TULN.suff
-hadnagy , dunántúli
hadnagy hadnagy FN.nom
hadnagy hadnagy FN.suff
hadnagy hadnagy FN.suff
-dunántúli vót .
dunántúli dunántúli MN.none
dunántúli dunántúli MN.none
dunántúli dunántúli MN.none
-vót . #
vót vót MN.postag_error
vót vót MN.postag_error
vót vót MN.nom


307: Mindegy , hogy engem ért sérelem vagy családom , rokonságom , esetleg környezetem valamelyik tagját . # #
-sérelem vagy családom
sérelem sérelem FN.nom
sérelem sérelem FN.suff
sérelem sérelem FN.suff
-családom , rokonságom
családom család FN.PSe1.gen
családom család FN.PSe1.suff
családom család FN.PSe1.suff
-rokonságom , esetleg
rokonságom rokonság FN.PSe1.gen
rokonságom rokonság FN.PSe1.suff
rokonságom rokonság FN.PSe1.suff
-környezetem valamelyik tagját
környezetem környezet FN.PSe1.gen
környezetem környezet FN.PSe1.suff
környezetem környezet FN.PSe1.nom
-valamelyik tagját .
valamelyik valamelyik FN_NM.none
valamelyik valamelyik FN_NM.none
valamelyik valamelyik FN_NM.gen


308: Balsejtelem nélkül indultam életem legszörnyűbb éjszakájába . # #
-Balsejtelem nélkül indultam
Balsejtelem balsejtelem FN.none
Balsejtelem balsejtelem FN.none
Balsejtelem balsejtelem FN.none
-életem legszörnyűbb éjszakájába
életem élet FN.PSe1.gen
életem élet FN.PSe1.gen
életem élet FN.PSe1.gen
-legszörnyűbb éjszakájába .
legszörnyűbb szörnyű FF.MN._FOK.none
legszörnyűbb szörnyű FF.MN._FOK.none
legszörnyűbb szörnyű FF.MN._FOK.none


309: Kötél , drót , csúzlihoz szükséges bőrdarab mindig akadt a halomban . # #
-Kötél , drót
Kötél kötél FN.nom
Kötél kötél FN.suff
Kötél kötél FN.suff
-drót , csúzlihoz
drót drót FN.nom
drót drót FN.suff
drót drót FN.suff
-szükséges bőrdarab mindig
szükséges szükséges MN.none
szükséges szükséges MN.none
szükséges szükséges MN.defnone
-bőrdarab mindig akadt
bőrdarab bőrdarab FN.nom
bőrdarab bőrdarab FN.nom
bőrdarab bőrdarab FN.nom


310: Amikor végzett a borsózöld Volkswagennal , kilenc óra elmúlt . # #
-borsózöld Volkswagennal ,
borsózöld borsózöld FN.postag_error
borsózöld borsózöld FN.postag_error
borsózöld borsózöld FN.nom
-kilenc óra elmúlt
kilenc kilenc SZN.none
kilenc kilenc SZN.none
kilenc kilenc SZN.none
-óra elmúlt .
óra óra FN.nom
óra óra FN.nom
óra óra FN.nom
-elmúlt . #
elmúlt elmúlik IK.IGE._MIB.postag_error
elmúlt elmúlik IK.IGE._MIB.postag_error
elmúlt elmúlik IK.IGE._MIB.nom


311: Az ellátórendszerrel és az államnak a sérült gyermekek családjainak támogatásában vállalt szerepével kapcsolatban többen is kifejezték elégedetlenségüket . # #
-sérült gyermekek családjainak
sérült sérült MN.none
sérült sérült MN.none
sérült sérült MN.defnone
-gyermekek családjainak támogatásában
gyermekek gyermek FN.PL.gen
gyermekek gyermek FN.PL.gen
gyermekek gyermek FN.PL.gen
-vállalt szerepével kapcsolatban
vállalt vállal IGE._MIB.none
vállalt vállal IGE._MIB.none
vállalt vállal IGE._MIB.defnone


312: A terasz jobb sarkában három összetolt asztal mellett két rövid hajú lány és tizenegy hosszú hajú fiú vad károgásba kezdett . # #
-terasz jobb sarkában
terasz terasz FN.gen
terasz terasz FN.gen
terasz terasz FN.gen
-jobb sarkában három
jobb jobb MN.none
jobb jobb MN.none
jobb jobb MN.defnone
-három összetolt asztal
három három SZN.none
három három SZN.none
három három SZN.defnone
-összetolt asztal mellett
összetolt összetol IK.IGE._MIB.none
összetolt összetol IK.IGE._MIB.none
összetolt összetol IK.IGE._MIB.defnone
-asztal mellett két
asztal asztal FN.none
asztal asztal FN.none
asztal asztal FN.none
-két rövid hajú
két két SZN.none
két két SZN.none
két két SZN.none
-rövid hajú lány
rövid rövid MN.none
rövid rövid MN.none
rövid rövid MN.defnone
-hajú lány és
hajú hajú MN.none
hajú hajú MN.defnone
hajú hajú MN.defnone
-lány és tizenegy
lány lány FN.nom
lány lány FN.suff
lány lány FN.suff
-tizenegy hosszú hajú
tizenegy tizenegy SZN.none
tizenegy tizenegy SZN.none
tizenegy tizenegy SZN.none
-hosszú hajú fiú
hosszú hosszú MN.none
hosszú hosszú MN.none
hosszú hosszú MN.defnone
-hajú fiú vad
hajú hajú MN.none
hajú hajú MN.defnone
hajú hajú MN.defnone
-fiú vad károgásba
fiú fiú FN.nom
fiú fiú FN.suff
fiú fiú FN.suff
-vad károgásba kezdett
vad vad MN.none
vad vad MN.none
vad vad MN.none


313: ahol az igazság zavaros vizekben lakozik # #
-igazság zavaros vizekben
igazság igazság FN.nom
igazság igazság FN.suff
igazság igazság FN.suff
-zavaros vizekben lakozik
zavaros zavaros MN.none
zavaros zavaros MN.none
zavaros zavaros MN.none


314:  nem tudom most megítélni ,# #


315: Egyik nap is megy hátrafelé a szűrűbe . # #
-Egyik nap is
Egyik egyik MN_NM.none
Egyik egyik MN_NM.none
Egyik egyik MN_NM.none
-nap is megy
nap nap FN.nom
nap nap FN.nom
nap nap FN.nom


316: A jelentéktelen dolgok léphetnek a jelentősek helyébe . # #
-jelentéktelen dolgok léphetnek
jelentéktelen jelentéktelen MN.none
jelentéktelen jelentéktelen MN.none
jelentéktelen jelentéktelen MN.none
-dolgok léphetnek a
dolgok dolog FN.PL.nom
dolgok dolog FN.PL.nom
dolgok dolog FN.PL.nom
-jelentősek helyébe .
jelentősek jelentős MN.PL.gen
jelentősek jelentős MN.PL.gen
jelentősek jelentős MN.PL.gen


317: Torzonborz most egyhelyben ugrált , föl-le , föl-le . # #
-Torzonborz most egyhelyben
Torzonborz torzonborz MN.postag_error
Torzonborz torzonborz MN.postag_error
Torzonborz torzonborz MN.defnone


318: A sárkányfűárus diadalmasan mosolyogva megdicsérte . # #
-sárkányfűárus diadalmasan mosolyogva
sárkányfűárus sárkányfűárus MN.postag_error
sárkányfűárus sárkányfűárus MN.postag_error
sárkányfűárus sárkányfűárus MN.none


319: Letépett egy újabb cetlit a tömbről . # #
-egy újabb cetlit
egy egy SZN.none
egy egy SZN.none
egy egy SZN.none
-újabb cetlit a
újabb új MN._FOK.none
újabb új MN._FOK.none
újabb új MN._FOK.none


320: Elsőnek a hullát felfedező tehenészt hallgatta ki . # #
-felfedező tehenészt hallgatta
felfedező felfedez IK.IGE._OKEP.none
felfedező felfedez IK.IGE._OKEP.none
felfedező felfedez IK.IGE._OKEP.none


321: Az ajtó mellett , a lépcsőknél két szuronyos katona állt . # #
-ajtó mellett ,
ajtó ajtó FN.none
ajtó ajtó FN.none
ajtó ajtó FN.none
-két szuronyos katona
két két SZN.none
két két SZN.none
két két SZN.none
-szuronyos katona állt
szuronyos szuronyos MN.none
szuronyos szuronyos MN.none
szuronyos szuronyos MN.none
-katona állt .
katona katona FN.nom
katona katona FN.nom
katona katona FN.nom


322: Bámultunk sokáig a sötétségbe , a gázgyár felé . # #
-gázgyár felé .
gázgyár gázgyár FN.none
gázgyár gázgyár FN.none
gázgyár gázgyár FN.none


323: De azt tudom # #


324: A műhely nélkül nem bír meglenni ... # #
-műhely nélkül nem
műhely műhely FN.none
műhely műhely FN.none
műhely műhely FN.none


325: Senki se jelentkezett . # #
-Senki se jelentkezett
Senki senki FN_NM.nom
Senki senki FN_NM.nom
Senki senki FN_NM.nom


326: Elrobogott ez a nyár is # #
-ez a nyár
ez ez DET_NM.nom
ez ez DET_NM.nom
ez ez DET_NM.nom
-nyár is #
nyár nyár FN.nom
nyár nyár FN.nom
nyár nyár FN.nom


